;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
20850;1;1;1.0;1.0;5980.6;1.0;2.0;93.21;75+       ;75+       ;35;1;1.0;1591933.63
20851;1;1;1.0;1.0;5892.79;1.0;2.0;80.83;90-95     ;75+       ;23;1;1.0;1591933.63
20852;1;1;1.0;1.0;2433.57;1.0;2.0;96.76;75+       ;75+       ;20;1;1.0;1591933.63
20853;1;1;1.0;1.0;4503.88;2.0;3.0;63.27;75+       ;75+       ;2;0;1.0;1591933.63
20854;1;1;1.0;1.0;3595.12;1.0;4.0;56.65;75+       ;75+       ;25;0;1.0;1591933.63
20855;1;1;1.0;1.0;2493.85;1.0;5.0;47.44;75+       ;75+       ;8;1;1.0;1591933.63
20856;1;1;1.0;1.0;2636.41;1.0;4.0;54.34;75+       ;75+       ;3;0;1.0;1591933.63
20857;1;1;1.0;1.0;3380.63;2.0;3.0;74.85;75+       ;75+       ;6;0;1.0;1591933.63
20858;1;1;1.0;1.0;2952.06;2.0;3.0;68.48;75+       ;75+       ;4;1;1.0;1591933.63
20859;1;1;1.0;1.0;12696.0;2.0;2.0;82.77;75+       ;75+       ;87;13;1.0;1591933.63
20860;1;1;1.0;1.0;1899.94;1.0;4.0;54.84;75+       ;75+       ;20;2;1.0;1591933.63
20861;1;1;1.0;1.0;1328.21;2.0;3.0;70.34;75+       ;75+       ;10;0;1.0;1591933.63
20862;1;1;1.0;1.0;22804.26;2.0;3.0;69.81;75+       ;75+       ;177;0;1.0;1591933.63
20863;1;1;1.0;1.0;1340.58;1.0;5.0;46.64;75+       ;75+       ;2;0;1.0;1591933.63
20864;1;1;1.0;1.0;8963.21;1.0;4.0;60.01;90-95     ;75+       ;1;0;1.0;1591933.63
20865;1;1;1.0;1.0;4804.68;2.0;5.0;48.02;75+       ;75+       ;5;0;1.0;1591933.63
20866;1;1;1.0;1.0;10440.26;1.0;3.0;76.32;75+       ;75+       ;28;1;1.0;1591933.63
20867;1;1;1.0;1.0;13546.15;1.0;3.0;67.28;75+       ;75+       ;7;0;1.0;1591933.63
