;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
13176;1;1;1.0;1.0;792.54;1.0;4.0;59.0;75+       ;75+       ;2;0;1.0;
13177;1;1;1.0;1.0;6952.4;1.0;3.0;72.2300033569336;75+       ;75+       ;1;0;1.0;
13178;1;1;1.0;1.0;411.94;2.0;1.0;100.0;75+       ;75+       ;14;0;1.0;
13179;1;1;1.0;1.0;919.14;1.0;5.0;47.72999954223633;75+       ;75+       ;2;0;1.0;
13180;1;1;1.0;1.0;1103.48;2.0;4.0;56.810001373291016;75+       ;75+       ;20;0;1.0;
13181;1;1;1.0;1.0;558.8;1.0;4.0;60.2400016784668;75+       ;75+       ;4;1;1.0;
13182;1;1;1.0;1.0;6456.0;1.0;4.0;60.88999938964844;75+       ;75+       ;3;0;1.0;
13183;1;1;1.0;1.0;1492.87;1.0;3.0;73.55000305175781;75+       ;75+       ;3;1;1.0;
13184;1;1;1.0;1.0;12185.06;2.0;4.0;51.779998779296875;75+       ;75+       ;22;0;1.0;
13185;1;1;1.0;1.0;1157.35;2.0;3.0;69.19999694824219;75+       ;75+       ;6;0;1.0;
13186;1;1;1.0;1.0;7824.48;1.0;5.0;48.119998931884766;75+       ;75+       ;2;2;1.0;
13187;1;1;1.0;1.0;9269.8;1.0;3.0;76.75;90-95     ;75+       ;8;0;1.0;
13188;1;1;1.0;1.0;672.29;2.0;2.0;94.61000061035156;90-95     ;75+       ;2;0;1.0;
13189;1;1;1.0;1.0;4880.38;2.0;5.0;46.38999938964844;75+       ;75+       ;3;0;1.0;
13190;1;1;1.0;1.0;1005.15;2.0;4.0;49.43000030517578;75+       ;75+       ;17;5;1.0;
13191;1;1;1.0;1.0;12026.81;2.0;3.0;74.31999969482422;75+       ;75+       ;44;2;1.0;
13192;1;1;1.0;1.0;4140.75;2.0;2.0;95.56999969482422;75+       ;75+       ;6;1;1.0;
13193;1;1;1.0;1.0;1693.03;1.0;4.0;59.459999084472656;75+       ;75+       ;12;1;1.0;
13194;1;1;1.0;1.0;1478.79;1.0;5.0;46.459999084472656;75+       ;75+       ;2;0;1.0;
13195;1;1;1.0;1.0;11440.03;1.0;3.0;73.36000061035156;75+       ;75+       ;75;1;1.0;
13196;1;1;1.0;1.0;1543.1;1.0;3.0;75.61000061035156;75+       ;75+       ;3;0;1.0;
13197;1;1;1.0;1.0;3115.19;2.0;4.0;53.58000183105469;75+       ;75+       ;38;0;1.0;
13198;1;1;1.0;1.0;543.92;2.0;3.0;77.18000030517578;75+       ;75+       ;8;0;1.0;
13199;1;1;1.0;1.0;1964.29;1.0;4.0;62.65999984741211;75+       ;75+       ;2;1;1.0;
13200;1;1;1.0;1.0;2511.3;1.0;3.0;64.5;75+       ;75+       ;17;5;1.0;
13201;1;1;1.0;1.0;5907.1;1.0;4.0;62.25;75+       ;75+       ;6;1;1.0;
13202;1;1;1.0;1.0;2027.67;2.0;4.0;58.060001373291016;75+       ;75+       ;8;2;1.0;
13203;1;1;1.0;1.0;6282.66;2.0;2.0;94.06999969482422;75+       ;75+       ;1;0;1.0;
13204;1;1;1.0;1.0;2478.23;2.0;1.0;100.0;75+       ;75+       ;17;0;1.0;
13205;1;1;1.0;1.0;2712.93;1.0;3.0;64.91000366210938;75+       ;75+       ;10;1;1.0;
13206;1;1;1.0;1.0;3555.09;1.0;1.0;100.0;90-95     ;75+       ;10;0;1.0;
13207;1;1;1.0;1.0;35217.76;1.0;3.0;69.22000122070312;75+       ;75+       ;8;0;1.0;
13208;1;1;1.0;1.0;5407.85;1.0;4.0;54.25;75+       ;75+       ;5;0;1.0;
